GISJOIN,POPULATION
G1701010,16665
G1701030,35027
G1701050,37689
G1701070,29956
G1701090,32009
G1701110,307357
G1701130,173114
G1701150,109193
G1701170,46844
G1701190,267356
G1701210,38665
G1701230,12173
G1701250,14126
G1701270,15016
G1701290,12611
G1701310,16107
G1701330,33539
G1701350,29348
G1701370,35129
G1701390,14927
G1701410,52397
G1701430,187112
G1701450,21810
G1701470,16495
G1701490,16144
G1701510,4331
G1701530,5871
G1701550,5822
G1701570,33069
G1701590,16127
G1701610,147161
G1701630,267029
G1701650,24783
G1701670,199016
G1701690,7311
G1701710,5198
G1701730,22115
G1701750,5859
G1701770,46625
G1701790,135697
G1701810,17551
G1701830,80368
G1701850,11652
G1701870,17701
G1701890,14457
G1701910,16555
G1701930,14464
G1701950,57525
G1701970,683995
G1701990,67121
G1702010,290439
G1702030,39106
G1800010,34642
G1800030,363453
G1800050,79488
G1800070,8752
G1800090,12476
G1800110,60511
G1800130,15011
G1800150,20014
G1800170,38476
G1800190,113181
G1800210,26686
G1800230,32835
G1800250,10591
G1800270,32411
G1800290,49679
G1800310,26240
G1800330,42449
G1800350,117335
G1800370,42291
G1800390,200685
G1800410,23773
G1800430,75900
G1800450,16888
G1800470,22935
G1800490,20527
G1800510,33668
G1800530,68896
G1800550,32815
G1800570,296635
G1800590,71328
G1800610,39230
G1800630,153435
G1800650,49146
G1800670,82765
G1800690,36863
G1800710,43471
G1800730,33448
G1800750,21255
G1800770,32453
G1800790,28113
G1800810,145645
G1800830,38062
G1800850,77983
G1800870,38084
G1800890,491596
G1800910,111280
G1800930,45814
G1800950,130280
G1800970,926335
G1800990,46962
G1801010,10262
G1801030,36211
G1801050,142404
G1801070,38172
G1801090,69403
G1801110,14057
G1801130,47546
G1801150,6033
G1801170,19725
G1801190,21192
G1801210,17107
G1801230,19414
G1801250,12687
G1801270,166570
G1801290,25567
G1801310,13047
G1801330,37650
G1801350,25596
G1801370,28612
G1801390,16991
G1801410,267246
G1801430,23783
G1801450,44441
G1801470,20856
G1801490,23117
G1801510,34267
G1801530,21111
G1801550,10500
G1801570,180952
G1801590,15573
G1801610,7299
G1801630,181305
G1801650,15860
G1801670,108268
G1801690,32358
G1801710,8367
G1801730,60995
G1801750,27930
G1801770,67866
G1801790,27796
G1801810,24388
G1801830,33330
G1900010,7426
G1900030,3892
